eventID,measurementType,measurementValue,measurementUnit
1c607bea-63a9-4ccb-92a7-a90d320d688d,coverage,0,%
1c607bea-63a9-4ccb-92a7-a90d320d688d,estimated covered area,70,m²
1c7b35cf-02cf-44c6-93fc-4ee32a55e376,coverage,30,%
1c7b35cf-02cf-44c6-93fc-4ee32a55e376,estimated covered area,5000,m²
1c80578e-7c9a-4ee4-9159-5bcdb6d355a0,estimated covered area,10,m²
1c8daf3d-c1bf-45c8-818f-81ebc1931971,coverage,30,%
1c8daf3d-c1bf-45c8-818f-81ebc1931971,estimated covered area,600,m²
1ce78859-9545-4b96-b3b6-0aa54252cc80,coverage,0,%
1ce78859-9545-4b96-b3b6-0aa54252cc80,estimated covered area,15,m²
1cee2224-0321-4d15-873a-3a8f72b02b65,estimated covered area,25,m²
1d451e22-84e8-48f9-a3aa-f51e53c357a6,estimated covered area,50,m²
1d5395f4-3104-4ddc-8e36-8adc3f769ba3,estimated covered area,50,m²
1d9b915e-b0c6-4a4e-995c-c3b6c527eaf0,estimated covered area,100,m²
1ddecf92-7cf1-438e-aff4-63254f865342,estimated covered area,25,m²
1de5020a-16ef-4824-aff8-58e08f4ea340,estimated covered area,1000,m²
1deec80e-4b0f-4418-b7c9-5e8c21969f0e,coverage,0,%
1deec80e-4b0f-4418-b7c9-5e8c21969f0e,estimated covered area,2000,m²
1e1120bc-25a6-4a85-8524-b61f9c64af84,coverage,100,%
1e1120bc-25a6-4a85-8524-b61f9c64af84,estimated covered area,5,m²
1e130e0c-834b-4365-b4b4-f1f3d8f1ae49,estimated covered area,5,m²
1ef5c9e8-3eb1-4d3a-a183-cab22b2467f2,estimated covered area,50,m²
1efa49ed-ddbe-4bd0-af1f-41bd50eb18cb,estimated covered area,30,m²
1eff2f6a-f149-4b37-a4bb-c0ac62b6daad,estimated covered area,5,m²
1f2e075f-28ad-4f8b-a90d-c84cf1f9e0a6,estimated covered area,25,m²
1f31c1d6-9db9-466b-a031-fb62e7bf77dd,estimated covered area,100,m²
1f5e2d44-906f-4ee3-824b-b616ae62b260,coverage,0,%
1f5e2d44-906f-4ee3-824b-b616ae62b260,estimated covered area,2,m²
1f6aa36e-5c68-48cc-9949-e49e7f06a17b,estimated covered area,500,m²
1f7ecd65-f931-45b0-be66-8d7f3235d4fe,estimated covered area,20,m²
1f8339bf-caa7-4201-93f3-45b9f9d0e470,coverage,20,%
